station_code,station_name,lat,lon,state,zone
MSN,MURSAN,27.574211,77.9363,,
MSO,MISROD,23.168701,77.458046,,
MSOD,MASODHA,26.709217,82.125339,,NR
MSP,MANSURPUR,29.355377,77.719182,Uttar Pradesh,NR
MSQ,Marwar Ratanpur,24.67822,72.142853,Gujarat,NWR
MSR,MASUR,17.404241,74.144209,Maharashtra,CR
MSRP,MURHESI RAMPUR,27.412426,77.627418,Uttar Pradesh,WCR
MSS,Masarahalli,13.804192,75.735905,Karnataka,SWR
MSSD,Maheshari Sandhuan,30.848579,74.992929,Punjab,NR
MST,MASIT,27.269929,80.257914,,
MSTH,Misrikh Tirath,27.422484,80.530303,Uttar Pradesh,NR
MSU,MOSUR,13.085735,79.718841,,
MSV,MUSTARA,25.496702,78.63498,,
MSW,MASKANWA,27.001379,82.35974,,
MSWA,Masaniwala,29.399943,73.590387,,
MSZ,MANSA,29.989695,75.402584,Punjab,NR
MT,Matera,27.784934,81.553447,Uttar Pradesh,NER
MTA,MATHELA,21.880256,76.389971,Madhya Pradesh,WCR
MTB,MATLABPUR,28.989821,78.656727,,
MTBG,Matia Barghat Halt,26.941536,83.757104,,
MTC,MEERUT CITY,28.97761,77.675106,Uttar Pradesh,NR
MTCN,Triplicane,13.054862,80.280206,Tamil Nadu,SR
MTD,MERTA ROAD JN,26.728077,73.917896,,
MTDI,MALTEKDI,19.1674,77.334354,,
MTDM,METUR DAM,11.807081,77.832008,,
MTFA,MERTALA PHALEYA,23.479666,88.319686,West Bengal,ER
MTGE,MUTHANI,25.173237,83.619143,,
MTH,MATAUNDH,25.418978,80.148507,Uttar Pradesh,NCR
MTHP,MITHAPUR,22.411601,69.008695,Gujarat,WR
MTI,MITAWAL,27.292311,78.198924,,
MTJ,MATHURA JN,27.480145,77.673117,,
MTJL,Motijheel,26.249743,78.142209,Madhya Pradesh,NCR
MTJR,MOTERJHAR,26.133968,89.864509,Assam,NFR
MTL,MAILAM,12.160501,79.6022,,
MTM,Machilipatnam,16.171258,81.137763,Andhra Pradesh,SCR
MTMI,MOTIMARI,16.956602,80.320896,Andhra Pradesh,SCR
MTMY,Thirumayilai,13.03497,80.267038,Tamil Nadu,SR
MTN,MUMBAI MATUNGA,19.027347,72.849842,,
MTND,Mattagajpur,20.441552,85.946128,Orissa,ECoR
MTNL,MUTTARASANALLUR,10.86586,78.648401,Tamil Nadu,SR
MTO,MAITHA,26.476492,80.025181,,
MTP,Mettupalayam,11.299729,76.934533,Tamil Nadu,SR
MTPC,MOTIPURA CHAUKI,24.609338,77.0483,Rajasthan,WCR
MTPR,Raimehatpur,31.405747,76.324311,Himachal Pradesh,NR
MTR,MOTIPUR,26.257039,85.168197,Bihar,ECR
MTRA,Matigara,26.716817,88.384065,,
MTSK,MOTA SURKA,21.724542,71.924583,,
MTU,MATMARI,16.046723,77.302973,,
MTUR,MATHUR,11.318107,79.205803,,
MTV,Matalkunta,17.768291,77.56294,Andhra Pradesh,SCR
MTWN,Mitewani,21.424028,79.712797,,
MTY,MULTAI,21.783543,78.26283,,
MU,MAKANSAR,22.760355,70.906093,,
MUA,MUSRA,21.152966,80.879372,,
MUC,MULLURKARA,10.705843,76.271415,,
MUD,MURADNAGAR,28.759017,77.506774,Uttar Pradesh,NR
MUDI,Mududi,13.151294,76.233204,,
MUE,MUDKHED,19.148087,77.509661,Maharashtra,SCR
MUG,MAGRA,22.983125,88.36829,,
MUGA,MAHUGARHA,24.627745,77.241742,,
MUGN,MAHUTGAON,26.962757,94.792882,Assam,NFR
MUGR,Manuguru,17.925272,80.799034,Andhra Pradesh,SCR
MUH,Murthiha,28.030462,81.378147,Uttar Pradesh,NER
MUHI,Murhari Halt,25.341408,85.533014,,
MUK,MUNUMAKA,16.190922,79.981319,,
MUKE,MUKKALI,11.68423,75.550362,Kerala,SR
MULK,MULKI,13.068517,74.804962,Karnataka,KR
MUM,MANGAPATNAM,14.736696,78.260753,,
MUO,MASANGAON,22.272733,77.005257,Madhya Pradesh,WCR
MUP,MURHIPAR,21.183141,81.148154,,
MUPA,MUPA,25.368686,93.122747,Assam,NFR
MUQ,MARUDUR,10.914737,78.450293,Tamil Nadu,SR
MUR,MANKAPUR JN,27.039058,82.227648,,
MURD,MANDAWAR MAHUA RD,27.156098,76.850823,,
MURI,MURI,23.376284,85.866991,,
MUT,MEERUT CANT,29.015997,77.686937,Uttar Pradesh,NR
MUU,MANKUNDU,22.846462,88.346368,,
MUUA,MAHUAWA KHURD,26.854361,83.593922,Uttar Pradesh,NER
MUV,MANDUADIH,25.300001,82.972079,Uttar Pradesh,NER
MUW,MATHURAPUR,24.386518,86.631692,,
MUY,MUGAIYUR,11.976522,79.305326,,
MUZ,MOHIUDDINPUR,28.885405,77.621531,Uttar Pradesh,NR
MV,MAYILADUTURAI JN,11.095237,79.62868,Tamil Nadu,SR
MVA,Malaka Vemala,14.268888,78.053936,,
MVC,Mavinkere,12.816193,76.201872,Karnataka,SWR
MVD,MULVAD,16.620372,75.746926,Karnataka,SWR
